osmid,highway,oneway,reversed,length,geometry,name,ref,access,lanes,tunnel,maxspeed,bridge,junction
28161972,tertiary,False,True,79.508,"LINESTRING (80.2318417 13.0721938, 80.2318033 13.0724888, 80.2317756 13.0729056)",Harrington Road,,,,,,,
1434321183,residential,False,False,7.163,"LINESTRING (80.2319008 13.0740914, 80.2318347 13.0740934)",,,,,,,,
1287029250,tertiary,True,False,54.33,"LINESTRING (80.2319008 13.0740914, 80.2318869 13.073955, 80.2318512 13.0736052)",Harrington Road,,,,,,,
1287029250,tertiary,True,False,17.899,"LINESTRING (80.2320582 13.0753892, 80.2320629 13.0752283)",Harrington Road,,,,,,,
100857282,primary,True,False,206.17899999999997,"LINESTRING (80.2320582 13.0753892, 80.2321893 13.0754281, 80.2329958 13.0756676, 80.2333305 13.0757447, 80.2338977 13.0758601)",EVR Periyar Salai,SHU86,,,,,,
26748533,residential,False,False,65.645,"LINESTRING (80.2318935 13.0705547, 80.2317919 13.0699727)",Arunachalam Street,,,,,,,
1107322882,residential,False,False,76.3,"LINESTRING (80.2318935 13.0705547, 80.2311891 13.0705611)",Vaidyanathan Street,,,,,,,
1107322884,residential,False,True,21.501,"LINESTRING (80.2318935 13.0705547, 80.2320635 13.0705378, 80.23209 13.0705454)",Vaidhanathan Street,,,,,,,
1107322882,residential,False,False,35.102,"LINESTRING (80.2311891 13.0705611, 80.2308653 13.0705741)",Vaidyanathan Street,,,,,,,
1107322882,residential,False,True,76.3,"LINESTRING (80.2311891 13.0705611, 80.2318935 13.0705547)",Vaidyanathan Street,,,,,,,
26748538,residential,False,True,94.233,"LINESTRING (80.2311891 13.0705611, 80.2311264 13.070142, 80.2311009 13.0697188)",,,,,,,,
1107322882,residential,False,False,32.282,"LINESTRING (80.2308653 13.0705741, 80.2305702 13.0706148)",Vaidyanathan Street,,,,,,,
1107322882,residential,False,True,35.102,"LINESTRING (80.2308653 13.0705741, 80.2311891 13.0705611)",Vaidyanathan Street,,,,,,,
"[112869313, 26748532]",residential,False,False,98.95200000000001,"LINESTRING (80.2308653 13.0705741, 80.2307843 13.0697919, 80.2307976 13.0697693, 80.2308744 13.0697484)","['Arunachalam 2nd Lane', 'Murugesan Street']",,,,,,,
26748525,residential,False,False,54.192,"LINESTRING (80.2305349 13.0706051, 80.2304817 13.0701205)",Pillayar Koil Street,,,,,,,
26748531,residential,False,False,30.09,"LINESTRING (80.2305349 13.0706051, 80.230265 13.0706692)",,,,,,,,
1107322882,residential,False,True,3.973,"LINESTRING (80.2305349 13.0706051, 80.2305702 13.0706148)",Vaidyanathan Street,,,,,,,
26748553,tertiary,True,False,4.099,"LINESTRING (80.2324233 13.0703508, 80.2323869 13.0703609)",Harrington Road,,,,,,,
23046393,residential,False,False,74.282,"LINESTRING (80.2457538 13.0735611, 80.2464355 13.0736341)",Mayor Sathyamurthy Road,,,,,,,
23046395,residential,False,False,14.733,"LINESTRING (80.2457538 13.0735611, 80.2457433 13.0736932)",,,,,,,,
217685947,residential,False,False,4.771,"LINESTRING (80.2457538 13.0735611, 80.2457546 13.0735182)",Brindavan Street,,,,,,,
112716532,residential,False,False,64.807,"LINESTRING (80.245963 13.0723316, 80.2453766 13.0722158)",School Road,,,,,,,
217685947,residential,False,False,18.266,"LINESTRING (80.245963 13.0723316, 80.2460126 13.0721746)",Brindavan Street,,,,,,,
217685947,residential,False,True,23.253,"LINESTRING (80.245963 13.0723316, 80.245898 13.0725309)",Brindavan Street,,,,,,,
28295565,residential,False,False,7.728,"LINESTRING (80.242489 13.071631, 80.2424894 13.0717005)",,,,,,,,
112716532,residential,False,False,85.568,"LINESTRING (80.242489 13.071631, 80.241748 13.0713642)",School Road,,,,,,,
112716532,residential,False,True,48.538,"LINESTRING (80.242489 13.071631, 80.2429254 13.0717302)",School Road,,,,,,,
112716532,residential,False,True,85.568,"LINESTRING (80.241748 13.0713642, 80.242489 13.071631)",School Road,,,,,,,
